date,entity,year,month,week,period,value
2/2/2020,SAN ANDRES,2020,2,6,2,0
2/9/2020,SAN ANDRES,2020,2,7,2,0
2/16/2020,SAN ANDRES,2020,2,8,2,0
2/23/2020,SAN ANDRES,2020,2,9,3,0
3/1/2020,SAN ANDRES,2020,3,10,3,0
3/8/2020,SAN ANDRES,2020,3,11,3,0
3/15/2020,SAN ANDRES,2020,3,12,3,0
3/22/2020,SAN ANDRES,2020,3,13,4,0
3/29/2020,SAN ANDRES,2020,3,14,4,1
4/5/2020,SAN ANDRES,2020,4,15,4,0
4/12/2020,SAN ANDRES,2020,4,16,4,0
4/19/2020,SAN ANDRES,2020,4,17,5,0
4/26/2020,SAN ANDRES,2020,4,18,5,0
5/3/2020,SAN ANDRES,2020,5,19,5,0
5/10/2020,SAN ANDRES,2020,5,20,5,0
5/17/2020,SAN ANDRES,2020,5,21,6,0
5/24/2020,SAN ANDRES,2020,5,22,6,1
5/31/2020,SAN ANDRES,2020,5,23,6,0
6/7/2020,SAN ANDRES,2020,6,24,6,0
6/14/2020,SAN ANDRES,2020,6,25,7,0
6/21/2020,SAN ANDRES,2020,6,26,7,0
6/28/2020,SAN ANDRES,2020,6,27,7,0
7/5/2020,SAN ANDRES,2020,7,28,7,0
7/12/2020,SAN ANDRES,2020,7,29,8,0
7/19/2020,SAN ANDRES,2020,7,30,8,0
7/26/2020,SAN ANDRES,2020,7,31,8,0
8/2/2020,SAN ANDRES,2020,8,32,8,0
8/9/2020,SAN ANDRES,2020,8,33,9,0
8/16/2020,SAN ANDRES,2020,8,34,9,0
8/23/2020,SAN ANDRES,2020,8,35,9,0
8/30/2020,SAN ANDRES,2020,8,36,9,0
9/6/2020,SAN ANDRES,2020,9,37,10,0
9/13/2020,SAN ANDRES,2020,9,38,10,0
9/20/2020,SAN ANDRES,2020,9,39,10,0
9/27/2020,SAN ANDRES,2020,9,40,10,0
10/4/2020,SAN ANDRES,2020,10,41,11,0
10/11/2020,SAN ANDRES,2020,10,42,11,0
10/18/2020,SAN ANDRES,2020,10,43,11,1
10/25/2020,SAN ANDRES,2020,10,44,11,0
11/1/2020,SAN ANDRES,2020,11,45,12,0
11/8/2020,SAN ANDRES,2020,11,46,12,1
11/15/2020,SAN ANDRES,2020,11,47,12,0
11/22/2020,SAN ANDRES,2020,11,48,12,0
11/29/2020,SAN ANDRES,2020,11,49,13,0
12/6/2020,SAN ANDRES,2020,12,50,13,0
12/13/2020,SAN ANDRES,2020,12,51,13,0
12/20/2020,SAN ANDRES,2020,12,52,13,0
12/27/2020,SAN ANDRES,2020,12,53,13,0
1/1/2017,SAN ANDRES CAP,2017,1,1,1,0
1/8/2017,SAN ANDRES CAP,2017,1,2,1,1
1/15/2017,SAN ANDRES CAP,2017,1,3,1,0
1/22/2017,SAN ANDRES CAP,2017,1,4,1,1
1/29/2017,SAN ANDRES CAP,2017,1,5,2,0
2/5/2017,SAN ANDRES CAP,2017,2,6,2,0
2/12/2017,SAN ANDRES CAP,2017,2,7,2,0
2/19/2017,SAN ANDRES CAP,2017,2,8,2,0
2/26/2017,SAN ANDRES CAP,2017,2,9,3,3
3/5/2017,SAN ANDRES CAP,2017,3,10,3,0
3/12/2017,SAN ANDRES CAP,2017,3,11,3,0
3/19/2017,SAN ANDRES CAP,2017,3,12,3,1
3/26/2017,SAN ANDRES CAP,2017,3,13,4,0
4/2/2017,SAN ANDRES CAP,2017,4,14,4,1
4/9/2017,SAN ANDRES CAP,2017,4,15,4,0
4/16/2017,SAN ANDRES CAP,2017,4,16,4,0
4/23/2017,SAN ANDRES CAP,2017,4,17,5,0
4/30/2017,SAN ANDRES CAP,2017,4,18,5,0
5/7/2017,SAN ANDRES CAP,2017,5,19,5,1
5/14/2017,SAN ANDRES CAP,2017,5,20,5,0
5/21/2017,SAN ANDRES CAP,2017,5,21,6,1
5/28/2017,SAN ANDRES CAP,2017,5,22,6,0
6/4/2017,SAN ANDRES CAP,2017,6,23,6,0
6/11/2017,SAN ANDRES CAP,2017,6,24,6,0
6/18/2017,SAN ANDRES CAP,2017,6,25,7,0
6/25/2017,SAN ANDRES CAP,2017,6,26,7,1
7/2/2017,SAN ANDRES CAP,2017,7,27,7,0
7/9/2017,SAN ANDRES CAP,2017,7,28,7,0
7/16/2017,SAN ANDRES CAP,2017,7,29,8,1
7/23/2017,SAN ANDRES CAP,2017,7,30,8,1
7/30/2017,SAN ANDRES CAP,2017,7,31,8,0
8/6/2017,SAN ANDRES CAP,2017,8,32,8,0
8/13/2017,SAN ANDRES CAP,2017,8,33,9,0
8/20/2017,SAN ANDRES CAP,2017,8,34,9,0
8/27/2017,SAN ANDRES CAP,2017,8,35,9,0
9/3/2017,SAN ANDRES CAP,2017,9,36,9,0
9/10/2017,SAN ANDRES CAP,2017,9,37,10,0
9/17/2017,SAN ANDRES CAP,2017,9,38,10,0
9/24/2017,SAN ANDRES CAP,2017,9,39,10,0
10/1/2017,SAN ANDRES CAP,2017,10,40,10,0
10/8/2017,SAN ANDRES CAP,2017,10,41,11,0
10/15/2017,SAN ANDRES CAP,2017,10,42,11,0
10/22/2017,SAN ANDRES CAP,2017,10,43,11,0
10/29/2017,SAN ANDRES CAP,2017,10,44,11,0
11/5/2017,SAN ANDRES CAP,2017,11,45,12,0
11/12/2017,SAN ANDRES CAP,2017,11,46,12,0
11/19/2017,SAN ANDRES CAP,2017,11,47,12,0
11/26/2017,SAN ANDRES CAP,2017,11,48,12,1
12/3/2017,SAN ANDRES CAP,2017,12,49,13,0
12/10/2017,SAN ANDRES CAP,2017,12,50,13,0
12/17/2017,SAN ANDRES CAP,2017,12,51,13,0
12/24/2017,SAN ANDRES CAP,2017,12,52,13,0
12/31/2017,SAN ANDRES CAP,2018,1,1,1,0
1/7/2018,SAN ANDRES CAP,2018,1,2,1,0
1/14/2018,SAN ANDRES CAP,2018,1,3,1,0
1/21/2018,SAN ANDRES CAP,2018,1,4,1,0
1/28/2018,SAN ANDRES CAP,2018,1,5,2,0
2/4/2018,SAN ANDRES CAP,2018,2,6,2,0
2/11/2018,SAN ANDRES CAP,2018,2,7,2,0
2/18/2018,SAN ANDRES CAP,2018,2,8,2,0
2/25/2018,SAN ANDRES CAP,2018,2,9,3,0
3/4/2018,SAN ANDRES CAP,2018,3,10,3,1
3/11/2018,SAN ANDRES CAP,2018,3,11,3,0
3/18/2018,SAN ANDRES CAP,2018,3,12,3,0
3/25/2018,SAN ANDRES CAP,2018,3,13,4,0
4/1/2018,SAN ANDRES CAP,2018,4,14,4,0
4/8/2018,SAN ANDRES CAP,2018,4,15,4,0
4/15/2018,SAN ANDRES CAP,2018,4,16,4,1
4/22/2018,SAN ANDRES CAP,2018,4,17,5,0
4/29/2018,SAN ANDRES CAP,2018,4,18,5,1
5/6/2018,SAN ANDRES CAP,2018,5,19,5,2
5/13/2018,SAN ANDRES CAP,2018,5,20,5,1
5/20/2018,SAN ANDRES CAP,2018,5,21,6,0
5/27/2018,SAN ANDRES CAP,2018,5,22,6,0
6/3/2018,SAN ANDRES CAP,2018,6,23,6,0
6/10/2018,SAN ANDRES CAP,2018,6,24,6,0
6/17/2018,SAN ANDRES CAP,2018,6,25,7,1
6/24/2018,SAN ANDRES CAP,2018,6,26,7,0
7/1/2018,SAN ANDRES CAP,2018,7,27,7,0
7/8/2018,SAN ANDRES CAP,2018,7,28,7,1
7/15/2018,SAN ANDRES CAP,2018,7,29,8,0
7/22/2018,SAN ANDRES CAP,2018,7,30,8,1
7/29/2018,SAN ANDRES CAP,2018,7,31,8,0
8/5/2018,SAN ANDRES CAP,2018,8,32,8,0
8/12/2018,SAN ANDRES CAP,2018,8,33,9,1
8/19/2018,SAN ANDRES CAP,2018,8,34,9,1
8/26/2018,SAN ANDRES CAP,2018,8,35,9,0
9/2/2018,SAN ANDRES CAP,2018,9,36,9,1
9/9/2018,SAN ANDRES CAP,2018,9,37,10,0
9/16/2018,SAN ANDRES CAP,2018,9,38,10,1
9/23/2018,SAN ANDRES CAP,2018,9,39,10,0
9/30/2018,SAN ANDRES CAP,2018,9,40,10,0
10/7/2018,SAN ANDRES CAP,2018,10,41,11,1
10/14/2018,SAN ANDRES CAP,2018,10,42,11,0
10/21/2018,SAN ANDRES CAP,2018,10,43,11,0
10/28/2018,SAN ANDRES CAP,2018,10,44,11,0
11/4/2018,SAN ANDRES CAP,2018,11,45,12,0
11/11/2018,SAN ANDRES CAP,2018,11,46,12,0
11/18/2018,SAN ANDRES CAP,2018,11,47,12,1
11/25/2018,SAN ANDRES CAP,2018,11,48,12,0
12/2/2018,SAN ANDRES CAP,2018,12,49,13,0
12/9/2018,SAN ANDRES CAP,2018,12,50,13,0
12/16/2018,SAN ANDRES CAP,2018,12,51,13,1
12/23/2018,SAN ANDRES CAP,2018,12,52,13,0
12/30/2018,SAN ANDRES CAP,2019,1,1,1,0
1/6/2019,SAN ANDRES CAP,2019,1,2,1,0
1/13/2019,SAN ANDRES CAP,2019,1,3,1,1
1/20/2019,SAN ANDRES CAP,2019,1,4,1,0
1/27/2019,SAN ANDRES CAP,2019,1,5,2,0
2/3/2019,SAN ANDRES CAP,2019,2,6,2,0
2/10/2019,SAN ANDRES CAP,2019,2,7,2,0
2/17/2019,SAN ANDRES CAP,2019,2,8,2,0
2/24/2019,SAN ANDRES CAP,2019,2,9,3,0
3/3/2019,SAN ANDRES CAP,2019,3,10,3,0
3/10/2019,SAN ANDRES CAP,2019,3,11,3,0
3/17/2019,SAN ANDRES CAP,2019,3,12,3,0
3/24/2019,SAN ANDRES CAP,2019,3,13,4,0
3/31/2019,SAN ANDRES CAP,2019,3,14,4,0
4/7/2019,SAN ANDRES CAP,2019,4,15,4,0
4/14/2019,SAN ANDRES CAP,2019,4,16,4,0
4/21/2019,SAN ANDRES CAP,2019,4,17,5,0
4/28/2019,SAN ANDRES CAP,2019,4,18,5,1
5/5/2019,SAN ANDRES CAP,2019,5,19,5,0
5/12/2019,SAN ANDRES CAP,2019,5,20,5,0
5/19/2019,SAN ANDRES CAP,2019,5,21,6,0
5/26/2019,SAN ANDRES CAP,2019,5,22,6,0
6/2/2019,SAN ANDRES CAP,2019,6,23,6,0
6/9/2019,SAN ANDRES CAP,2019,6,24,6,0
6/16/2019,SAN ANDRES CAP,2019,6,25,7,0
6/23/2019,SAN ANDRES CAP,2019,6,26,7,0
6/30/2019,SAN ANDRES CAP,2019,6,27,7,1
7/7/2019,SAN ANDRES CAP,2019,7,28,7,0
7/14/2019,SAN ANDRES CAP,2019,7,29,8,0
7/21/2019,SAN ANDRES CAP,2019,7,30,8,0
7/28/2019,SAN ANDRES CAP,2019,7,31,8,0
8/4/2019,SAN ANDRES CAP,2019,8,32,8,0
8/11/2019,SAN ANDRES CAP,2019,8,33,9,0
8/18/2019,SAN ANDRES CAP,2019,8,34,9,0
8/25/2019,SAN ANDRES CAP,2019,8,35,9,0
9/1/2019,SAN ANDRES CAP,2019,9,36,9,0
9/8/2019,SAN ANDRES CAP,2019,9,37,10,1
9/15/2019,SAN ANDRES CAP,2019,9,38,10,0
9/22/2019,SAN ANDRES CAP,2019,9,39,10,0
9/29/2019,SAN ANDRES CAP,2019,9,40,10,0
10/6/2019,SAN ANDRES CAP,2019,10,41,11,1
10/13/2019,SAN ANDRES CAP,2019,10,42,11,0
10/20/2019,SAN ANDRES CAP,2019,10,43,11,0
10/27/2019,SAN ANDRES CAP,2019,10,44,11,0
11/3/2019,SAN ANDRES CAP,2019,11,45,12,0
11/10/2019,SAN ANDRES CAP,2019,11,46,12,0
11/17/2019,SAN ANDRES CAP,2019,11,47,12,0
11/24/2019,SAN ANDRES CAP,2019,11,48,12,1
12/1/2019,SAN ANDRES CAP,2019,12,49,13,0
12/8/2019,SAN ANDRES CAP,2019,12,50,13,0
12/15/2019,SAN ANDRES CAP,2019,12,51,13,0
12/22/2019,SAN ANDRES CAP,2019,12,52,13,0
12/29/2019,SAN ANDRES CAP,2020,1,1,1,1
1/5/2020,SAN ANDRES CAP,2020,1,2,1,0
1/12/2020,SAN ANDRES CAP,2020,1,3,1,0
1/19/2020,SAN ANDRES CAP,2020,1,4,1,2
1/26/2020,SAN ANDRES CAP,2020,1,5,2,0
2/2/2020,SAN ANDRES CAP,2020,2,6,2,0
2/9/2020,SAN ANDRES CAP,2020,2,7,2,0
2/16/2020,SAN ANDRES CAP,2020,2,8,2,0
2/23/2020,SAN ANDRES CAP,2020,2,9,3,0
3/1/2020,SAN ANDRES CAP,2020,3,10,3,0
3/8/2020,SAN ANDRES CAP,2020,3,11,3,0
3/15/2020,SAN ANDRES CAP,2020,3,12,3,0
3/22/2020,SAN ANDRES CAP,2020,3,13,4,0
3/29/2020,SAN ANDRES CAP,2020,3,14,4,1
4/5/2020,SAN ANDRES CAP,2020,4,15,4,0
4/12/2020,SAN ANDRES CAP,2020,4,16,4,0
4/19/2020,SAN ANDRES CAP,2020,4,17,5,0
4/26/2020,SAN ANDRES CAP,2020,4,18,5,0
5/3/2020,SAN ANDRES CAP,2020,5,19,5,0
5/10/2020,SAN ANDRES CAP,2020,5,20,5,0
5/17/2020,SAN ANDRES CAP,2020,5,21,6,0
5/24/2020,SAN ANDRES CAP,2020,5,22,6,1
5/31/2020,SAN ANDRES CAP,2020,5,23,6,0
6/7/2020,SAN ANDRES CAP,2020,6,24,6,0
6/14/2020,SAN ANDRES CAP,2020,6,25,7,0
6/21/2020,SAN ANDRES CAP,2020,6,26,7,0
6/28/2020,SAN ANDRES CAP,2020,6,27,7,0
7/5/2020,SAN ANDRES CAP,2020,7,28,7,0
7/12/2020,SAN ANDRES CAP,2020,7,29,8,0
7/19/2020,SAN ANDRES CAP,2020,7,30,8,0
7/26/2020,SAN ANDRES CAP,2020,7,31,8,0
8/2/2020,SAN ANDRES CAP,2020,8,32,8,0
8/9/2020,SAN ANDRES CAP,2020,8,33,9,0
8/16/2020,SAN ANDRES CAP,2020,8,34,9,0
8/23/2020,SAN ANDRES CAP,2020,8,35,9,0
8/30/2020,SAN ANDRES CAP,2020,8,36,9,0
9/6/2020,SAN ANDRES CAP,2020,9,37,10,0
9/13/2020,SAN ANDRES CAP,2020,9,38,10,0
9/20/2020,SAN ANDRES CAP,2020,9,39,10,0
9/27/2020,SAN ANDRES CAP,2020,9,40,10,0
10/4/2020,SAN ANDRES CAP,2020,10,41,11,0
10/11/2020,SAN ANDRES CAP,2020,10,42,11,0
10/18/2020,SAN ANDRES CAP,2020,10,43,11,1
10/25/2020,SAN ANDRES CAP,2020,10,44,11,0
11/1/2020,SAN ANDRES CAP,2020,11,45,12,0
11/8/2020,SAN ANDRES CAP,2020,11,46,12,1
11/15/2020,SAN ANDRES CAP,2020,11,47,12,0
11/22/2020,SAN ANDRES CAP,2020,11,48,12,0
11/29/2020,SAN ANDRES CAP,2020,11,49,13,0
12/6/2020,SAN ANDRES CAP,2020,12,50,13,0
12/13/2020,SAN ANDRES CAP,2020,12,51,13,0
12/20/2020,SAN ANDRES CAP,2020,12,52,13,0
12/27/2020,SAN ANDRES CAP,2020,12,53,13,0
1/1/2017,SAN JOSE DEL GUAVIARE,2017,1,1,1,1
1/8/2017,SAN JOSE DEL GUAVIARE,2017,1,2,1,0
1/15/2017,SAN JOSE DEL GUAVIARE,2017,1,3,1,1
1/22/2017,SAN JOSE DEL GUAVIARE,2017,1,4,1,1
1/29/2017,SAN JOSE DEL GUAVIARE,2017,1,5,2,1
2/5/2017,SAN JOSE DEL GUAVIARE,2017,2,6,2,0
2/12/2017,SAN JOSE DEL GUAVIARE,2017,2,7,2,1
2/19/2017,SAN JOSE DEL GUAVIARE,2017,2,8,2,2
2/26/2017,SAN JOSE DEL GUAVIARE,2017,2,9,3,1
3/5/2017,SAN JOSE DEL GUAVIARE,2017,3,10,3,1
3/12/2017,SAN JOSE DEL GUAVIARE,2017,3,11,3,1
3/19/2017,SAN JOSE DEL GUAVIARE,2017,3,12,3,0
3/26/2017,SAN JOSE DEL GUAVIARE,2017,3,13,4,2
4/2/2017,SAN JOSE DEL GUAVIARE,2017,4,14,4,1
4/9/2017,SAN JOSE DEL GUAVIARE,2017,4,15,4,0
4/16/2017,SAN JOSE DEL GUAVIARE,2017,4,16,4,1
4/23/2017,SAN JOSE DEL GUAVIARE,2017,4,17,5,0
4/30/2017,SAN JOSE DEL GUAVIARE,2017,4,18,5,1
5/7/2017,SAN JOSE DEL GUAVIARE,2017,5,19,5,3
5/14/2017,SAN JOSE DEL GUAVIARE,2017,5,20,5,0
5/21/2017,SAN JOSE DEL GUAVIARE,2017,5,21,6,0
5/28/2017,SAN JOSE DEL GUAVIARE,2017,5,22,6,2
6/4/2017,SAN JOSE DEL GUAVIARE,2017,6,23,6,3
6/11/2017,SAN JOSE DEL GUAVIARE,2017,6,24,6,0
6/18/2017,SAN JOSE DEL GUAVIARE,2017,6,25,7,0
6/25/2017,SAN JOSE DEL GUAVIARE,2017,6,26,7,0
7/2/2017,SAN JOSE DEL GUAVIARE,2017,7,27,7,2
7/9/2017,SAN JOSE DEL GUAVIARE,2017,7,28,7,0
7/16/2017,SAN JOSE DEL GUAVIARE,2017,7,29,8,0
7/23/2017,SAN JOSE DEL GUAVIARE,2017,7,30,8,2
7/30/2017,SAN JOSE DEL GUAVIARE,2017,7,31,8,0
8/6/2017,SAN JOSE DEL GUAVIARE,2017,8,32,8,0
8/13/2017,SAN JOSE DEL GUAVIARE,2017,8,33,9,0
8/20/2017,SAN JOSE DEL GUAVIARE,2017,8,34,9,1
8/27/2017,SAN JOSE DEL GUAVIARE,2017,8,35,9,0
9/3/2017,SAN JOSE DEL GUAVIARE,2017,9,36,9,0
9/10/2017,SAN JOSE DEL GUAVIARE,2017,9,37,10,1
9/17/2017,SAN JOSE DEL GUAVIARE,2017,9,38,10,0
9/24/2017,SAN JOSE DEL GUAVIARE,2017,9,39,10,0
10/1/2017,SAN JOSE DEL GUAVIARE,2017,10,40,10,1
10/8/2017,SAN JOSE DEL GUAVIARE,2017,10,41,11,1
10/15/2017,SAN JOSE DEL GUAVIARE,2017,10,42,11,1
10/22/2017,SAN JOSE DEL GUAVIARE,2017,10,43,11,0
10/29/2017,SAN JOSE DEL GUAVIARE,2017,10,44,11,1
11/5/2017,SAN JOSE DEL GUAVIARE,2017,11,45,12,1
11/12/2017,SAN JOSE DEL GUAVIARE,2017,11,46,12,2
11/19/2017,SAN JOSE DEL GUAVIARE,2017,11,47,12,0
11/26/2017,SAN JOSE DEL GUAVIARE,2017,11,48,12,1
12/3/2017,SAN JOSE DEL GUAVIARE,2017,12,49,13,0
12/10/2017,SAN JOSE DEL GUAVIARE,2017,12,50,13,2
12/17/2017,SAN JOSE DEL GUAVIARE,2017,12,51,13,0
12/24/2017,SAN JOSE DEL GUAVIARE,2017,12,52,13,1
12/31/2017,SAN JOSE DEL GUAVIARE,2018,1,1,1,0
1/7/2018,SAN JOSE DEL GUAVIARE,2018,1,2,1,1
1/14/2018,SAN JOSE DEL GUAVIARE,2018,1,3,1,1
1/21/2018,SAN JOSE DEL GUAVIARE,2018,1,4,1,1
1/28/2018,SAN JOSE DEL GUAVIARE,2018,1,5,2,0
2/4/2018,SAN JOSE DEL GUAVIARE,2018,2,6,2,0
2/11/2018,SAN JOSE DEL GUAVIARE,2018,2,7,2,0
2/18/2018,SAN JOSE DEL GUAVIARE,2018,2,8,2,0
2/25/2018,SAN JOSE DEL GUAVIARE,2018,2,9,3,1
3/4/2018,SAN JOSE DEL GUAVIARE,2018,3,10,3,1
3/11/2018,SAN JOSE DEL GUAVIARE,2018,3,11,3,1
3/18/2018,SAN JOSE DEL GUAVIARE,2018,3,12,3,0
3/25/2018,SAN JOSE DEL GUAVIARE,2018,3,13,4,0
4/1/2018,SAN JOSE DEL GUAVIARE,2018,4,14,4,0
4/8/2018,SAN JOSE DEL GUAVIARE,2018,4,15,4,2
4/15/2018,SAN JOSE DEL GUAVIARE,2018,4,16,4,0
4/22/2018,SAN JOSE DEL GUAVIARE,2018,4,17,5,0
4/29/2018,SAN JOSE DEL GUAVIARE,2018,4,18,5,0
5/6/2018,SAN JOSE DEL GUAVIARE,2018,5,19,5,0
5/13/2018,SAN JOSE DEL GUAVIARE,2018,5,20,5,0
5/20/2018,SAN JOSE DEL GUAVIARE,2018,5,21,6,0
5/27/2018,SAN JOSE DEL GUAVIARE,2018,5,22,6,1
6/3/2018,SAN JOSE DEL GUAVIARE,2018,6,23,6,0
6/10/2018,SAN JOSE DEL GUAVIARE,2018,6,24,6,0
6/17/2018,SAN JOSE DEL GUAVIARE,2018,6,25,7,1
6/24/2018,SAN JOSE DEL GUAVIARE,2018,6,26,7,0
7/1/2018,SAN JOSE DEL GUAVIARE,2018,7,27,7,0
7/8/2018,SAN JOSE DEL GUAVIARE,2018,7,28,7,0
7/15/2018,SAN JOSE DEL GUAVIARE,2018,7,29,8,0
7/22/2018,SAN JOSE DEL GUAVIARE,2018,7,30,8,1
7/29/2018,SAN JOSE DEL GUAVIARE,2018,7,31,8,1
8/5/2018,SAN JOSE DEL GUAVIARE,2018,8,32,8,0
8/12/2018,SAN JOSE DEL GUAVIARE,2018,8,33,9,0
8/19/2018,SAN JOSE DEL GUAVIARE,2018,8,34,9,0
8/26/2018,SAN JOSE DEL GUAVIARE,2018,8,35,9,0
9/2/2018,SAN JOSE DEL GUAVIARE,2018,9,36,9,0
9/9/2018,SAN JOSE DEL GUAVIARE,2018,9,37,10,3
9/16/2018,SAN JOSE DEL GUAVIARE,2018,9,38,10,0
9/23/2018,SAN JOSE DEL GUAVIARE,2018,9,39,10,1
9/30/2018,SAN JOSE DEL GUAVIARE,2018,9,40,10,0
10/7/2018,SAN JOSE DEL GUAVIARE,2018,10,41,11,0
10/14/2018,SAN JOSE DEL GUAVIARE,2018,10,42,11,1
10/21/2018,SAN JOSE DEL GUAVIARE,2018,10,43,11,2
10/28/2018,SAN JOSE DEL GUAVIARE,2018,10,44,11,0
11/4/2018,SAN JOSE DEL GUAVIARE,2018,11,45,12,0
11/11/2018,SAN JOSE DEL GUAVIARE,2018,11,46,12,1
11/18/2018,SAN JOSE DEL GUAVIARE,2018,11,47,12,0
11/25/2018,SAN JOSE DEL GUAVIARE,2018,11,48,12,1
12/2/2018,SAN JOSE DEL GUAVIARE,2018,12,49,13,1
12/9/2018,SAN JOSE DEL GUAVIARE,2018,12,50,13,1
12/16/2018,SAN JOSE DEL GUAVIARE,2018,12,51,13,0
12/23/2018,SAN JOSE DEL GUAVIARE,2018,12,52,13,0
12/30/2018,SAN JOSE DEL GUAVIARE,2019,1,1,1,0
1/6/2019,SAN JOSE DEL GUAVIARE,2019,1,2,1,2
1/13/2019,SAN JOSE DEL GUAVIARE,2019,1,3,1,1
1/20/2019,SAN JOSE DEL GUAVIARE,2019,1,4,1,0
1/27/2019,SAN JOSE DEL GUAVIARE,2019,1,5,2,3
2/3/2019,SAN JOSE DEL GUAVIARE,2019,2,6,2,3
2/10/2019,SAN JOSE DEL GUAVIARE,2019,2,7,2,1
2/17/2019,SAN JOSE DEL GUAVIARE,2019,2,8,2,0
2/24/2019,SAN JOSE DEL GUAVIARE,2019,2,9,3,1
3/3/2019,SAN JOSE DEL GUAVIARE,2019,3,10,3,1
3/10/2019,SAN JOSE DEL GUAVIARE,2019,3,11,3,1
3/17/2019,SAN JOSE DEL GUAVIARE,2019,3,12,3,2
3/24/2019,SAN JOSE DEL GUAVIARE,2019,3,13,4,0
3/31/2019,SAN JOSE DEL GUAVIARE,2019,3,14,4,0
4/7/2019,SAN JOSE DEL GUAVIARE,2019,4,15,4,0
4/14/2019,SAN JOSE DEL GUAVIARE,2019,4,16,4,0
4/21/2019,SAN JOSE DEL GUAVIARE,2019,4,17,5,1
4/28/2019,SAN JOSE DEL GUAVIARE,2019,4,18,5,0
5/5/2019,SAN JOSE DEL GUAVIARE,2019,5,19,5,1
5/12/2019,SAN JOSE DEL GUAVIARE,2019,5,20,5,0
5/19/2019,SAN JOSE DEL GUAVIARE,2019,5,21,6,0
5/26/2019,SAN JOSE DEL GUAVIARE,2019,5,22,6,0
6/2/2019,SAN JOSE DEL GUAVIARE,2019,6,23,6,1
6/9/2019,SAN JOSE DEL GUAVIARE,2019,6,24,6,1
6/16/2019,SAN JOSE DEL GUAVIARE,2019,6,25,7,1
6/23/2019,SAN JOSE DEL GUAVIARE,2019,6,26,7,2
6/30/2019,SAN JOSE DEL GUAVIARE,2019,6,27,7,0
7/7/2019,SAN JOSE DEL GUAVIARE,2019,7,28,7,1
7/14/2019,SAN JOSE DEL GUAVIARE,2019,7,29,8,0
7/21/2019,SAN JOSE DEL GUAVIARE,2019,7,30,8,1
7/28/2019,SAN JOSE DEL GUAVIARE,2019,7,31,8,0
8/4/2019,SAN JOSE DEL GUAVIARE,2019,8,32,8,0
8/11/2019,SAN JOSE DEL GUAVIARE,2019,8,33,9,1
8/18/2019,SAN JOSE DEL GUAVIARE,2019,8,34,9,0
8/25/2019,SAN JOSE DEL GUAVIARE,2019,8,35,9,1
9/1/2019,SAN JOSE DEL GUAVIARE,2019,9,36,9,2
9/8/2019,SAN JOSE DEL GUAVIARE,2019,9,37,10,0
9/15/2019,SAN JOSE DEL GUAVIARE,2019,9,38,10,1
9/22/2019,SAN JOSE DEL GUAVIARE,2019,9,39,10,0
9/29/2019,SAN JOSE DEL GUAVIARE,2019,9,40,10,1
10/6/2019,SAN JOSE DEL GUAVIARE,2019,10,41,11,1
10/13/2019,SAN JOSE DEL GUAVIARE,2019,10,42,11,0
10/20/2019,SAN JOSE DEL GUAVIARE,2019,10,43,11,0
10/27/2019,SAN JOSE DEL GUAVIARE,2019,10,44,11,1
11/3/2019,SAN JOSE DEL GUAVIARE,2019,11,45,12,0
11/10/2019,SAN JOSE DEL GUAVIARE,2019,11,46,12,4
11/17/2019,SAN JOSE DEL GUAVIARE,2019,11,47,12,1
11/24/2019,SAN JOSE DEL GUAVIARE,2019,11,48,12,0
12/1/2019,SAN JOSE DEL GUAVIARE,2019,12,49,13,0
12/8/2019,SAN JOSE DEL GUAVIARE,2019,12,50,13,1
12/15/2019,SAN JOSE DEL GUAVIARE,2019,12,51,13,0
12/22/2019,SAN JOSE DEL GUAVIARE,2019,12,52,13,0
12/29/2019,SAN JOSE DEL GUAVIARE,2020,1,1,1,1
1/5/2020,SAN JOSE DEL GUAVIARE,2020,1,2,1,1
1/12/2020,SAN JOSE DEL GUAVIARE,2020,1,3,1,0
1/19/2020,SAN JOSE DEL GUAVIARE,2020,1,4,1,0
1/26/2020,SAN JOSE DEL GUAVIARE,2020,1,5,2,1
2/2/2020,SAN JOSE DEL GUAVIARE,2020,2,6,2,1
2/9/2020,SAN JOSE DEL GUAVIARE,2020,2,7,2,1
2/16/2020,SAN JOSE DEL GUAVIARE,2020,2,8,2,0
2/23/2020,SAN JOSE DEL GUAVIARE,2020,2,9,3,1
3/1/2020,SAN JOSE DEL GUAVIARE,2020,3,10,3,0
3/8/2020,SAN JOSE DEL GUAVIARE,2020,3,11,3,0
3/15/2020,SAN JOSE DEL GUAVIARE,2020,3,12,3,1
3/22/2020,SAN JOSE DEL GUAVIARE,2020,3,13,4,0
3/29/2020,SAN JOSE DEL GUAVIARE,2020,3,14,4,1
4/5/2020,SAN JOSE DEL GUAVIARE,2020,4,15,4,0
4/12/2020,SAN JOSE DEL GUAVIARE,2020,4,16,4,0
4/19/2020,SAN JOSE DEL GUAVIARE,2020,4,17,5,0
4/26/2020,SAN JOSE DEL GUAVIARE,2020,4,18,5,0
5/3/2020,SAN JOSE DEL GUAVIARE,2020,5,19,5,0
5/10/2020,SAN JOSE DEL GUAVIARE,2020,5,20,5,0
5/17/2020,SAN JOSE DEL GUAVIARE,2020,5,21,6,0
5/24/2020,SAN JOSE DEL GUAVIARE,2020,5,22,6,2
